graph,llm_qa,cq_id,hops,subgraph_nodes,subgraph_edges,total_claims,supported,partial,unsupported,gf_strict,gf_weighted,parse_error,runtime_error
ministral-14b-2512,llama-3.3-70b-versatile,CQ10,2,412,838,1,1,0,0,1.0,1.0,,
ministral-14b-2512,llama-3.1-8b-instant,CQ10,2,412,838,10,5,5,0,0.5,0.75,,
ministral-14b-2512,gemini-2.5-flash,CQ10,2,412,838,6,4,1,1,0.6667,0.75,,
mistral-large3,openai_gpt4omini,CQ1,2,405,861,1,0,0,1,0.0,0.0,,
mistral-large3,llama-3.3-70b-versatile,CQ1,2,405,861,3,1,1,1,0.3333,0.5,,
mistral-large3,llama-3.1-8b-instant,CQ1,2,405,861,7,3,3,1,0.4286,0.6429,,
mistral-large3,gemini-2.5-flash,CQ1,2,405,861,8,7,1,0,0.875,0.9375,,
mistral-large3,openai_gpt4omini,CQ2,2,279,640,1,0,0,1,0.0,0.0,,
mistral-large3,llama-3.3-70b-versatile,CQ2,2,279,640,1,1,0,0,1.0,1.0,,
mistral-large3,llama-3.1-8b-instant,CQ2,2,279,640,13,10,3,0,0.7692,0.8846,,
mistral-large3,gemini-2.5-flash,CQ2,2,279,640,5,0,0,5,0.0,0.0,,
mistral-large3,openai_gpt4omini,CQ3,2,324,715,1,0,0,1,0.0,0.0,,
mistral-large3,llama-3.3-70b-versatile,CQ3,2,324,715,1,1,0,0,1.0,1.0,,
mistral-large3,llama-3.1-8b-instant,CQ3,2,324,715,13,4,6,3,0.3077,0.5385,,
mistral-large3,gemini-2.5-flash,CQ3,2,324,715,3,3,0,0,1.0,1.0,,
mistral-large3,openai_gpt4omini,CQ4,2,338,703,1,0,0,1,0.0,0.0,,
mistral-large3,llama-3.3-70b-versatile,CQ4,2,338,703,5,4,1,0,0.8,0.9,,
mistral-large3,llama-3.1-8b-instant,CQ4,2,338,703,30,21,1,8,0.7,0.7167,,
mistral-large3,gemini-2.5-flash,CQ4,2,338,703,2,2,0,0,1.0,1.0,,
mistral-large3,openai_gpt4omini,CQ5,2,327,683,1,0,0,1,0.0,0.0,,
mistral-large3,llama-3.3-70b-versatile,CQ5,2,327,683,3,2,0,1,0.6667,0.6667,,
mistral-large3,llama-3.1-8b-instant,CQ5,2,327,683,17,5,11,1,0.2941,0.6176,,
mistral-large3,gemini-2.5-flash,CQ5,2,327,683,46,45,1,0,0.9783,0.9891,,
mistral-large3,openai_gpt4omini,CQ6,2,304,641,1,0,0,1,0.0,0.0,,
mistral-large3,llama-3.3-70b-versatile,CQ6,2,304,641,1,1,0,0,1.0,1.0,,
mistral-large3,llama-3.1-8b-instant,CQ6,2,304,641,4,2,1,1,0.5,0.625,,
mistral-large3,gemini-2.5-flash,CQ6,2,304,641,8,8,0,0,1.0,1.0,,
mistral-large3,openai_gpt4omini,CQ7,2,350,814,6,5,0,1,0.8333,0.8333,,
mistral-large3,llama-3.3-70b-versatile,CQ7,2,350,814,0,0,0,0,0.0,0.0,Expecting value: line 1 column 1 (char 0),
mistral-large3,llama-3.1-8b-instant,CQ7,2,350,814,11,5,3,3,0.4545,0.5909,,
mistral-large3,gemini-2.5-flash,CQ7,2,350,814,16,16,0,0,1.0,1.0,,
mistral-large3,openai_gpt4omini,CQ8,2,429,907,1,0,0,1,0.0,0.0,,
mistral-large3,llama-3.3-70b-versatile,CQ8,2,429,907,4,0,0,4,0.0,0.0,,
mistral-large3,llama-3.1-8b-instant,CQ8,2,429,907,0,0,0,0,0.0,0.0,"Expecting ',' delimiter: line 29 column 27 (char 1118)",
mistral-large3,gemini-2.5-flash,CQ8,2,429,907,5,4,1,0,0.8,0.9,,
mistral-large3,openai_gpt4omini,CQ9,2,425,938,1,0,0,1,0.0,0.0,,
mistral-large3,llama-3.3-70b-versatile,CQ9,2,425,938,3,2,0,1,0.6667,0.6667,,
mistral-large3,llama-3.1-8b-instant,CQ9,2,425,938,5,2,2,0,0.4,0.6,,
mistral-large3,gemini-2.5-flash,CQ9,2,425,938,3,0,0,3,0.0,0.0,,
mistral-large3,openai_gpt4omini,CQ10,2,204,391,1,0,0,1,0.0,0.0,,
mistral-large3,llama-3.3-70b-versatile,CQ10,2,204,391,3,3,0,0,1.0,1.0,,
mistral-large3,llama-3.1-8b-instant,CQ10,2,204,391,4,3,0,0,0.75,0.75,,
mistral-large3,gemini-2.5-flash,CQ10,2,204,391,15,15,0,0,1.0,1.0,,
llama3-8b-instruct,openai_gpt4omini,CQ1,2,75,80,3,3,0,0,1.0,1.0,,
llama3-8b-instruct,llama-3.3-70b-versatile,CQ1,2,75,80,5,4,0,1,0.8,0.8,,
llama3-8b-instruct,llama-3.1-8b-instant,CQ1,2,75,80,3,1,1,1,0.3333,0.5,,
llama3-8b-instruct,gemini-2.5-flash,CQ1,2,75,80,13,11,2,0,0.8462,0.9231,,
llama3-8b-instruct,openai_gpt4omini,CQ2,2,41,45,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,llama-3.3-70b-versatile,CQ2,2,41,45,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,llama-3.1-8b-instant,CQ2,2,41,45,0,0,0,0,0.0,0.0,Expecting value: line 11 column 115 (char 494),
llama3-8b-instruct,gemini-2.5-flash,CQ2,2,41,45,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,openai_gpt4omini,CQ3,2,56,56,3,3,0,0,1.0,1.0,,
llama3-8b-instruct,llama-3.3-70b-versatile,CQ3,2,56,56,6,6,0,0,1.0,1.0,,
llama3-8b-instruct,llama-3.1-8b-instant,CQ3,2,56,56,5,2,1,2,0.4,0.5,,
llama3-8b-instruct,gemini-2.5-flash,CQ3,2,56,56,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,openai_gpt4omini,CQ4,2,92,95,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,llama-3.3-70b-versatile,CQ4,2,92,95,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,llama-3.1-8b-instant,CQ4,2,92,95,2,1,0,1,0.5,0.5,,
llama3-8b-instruct,gemini-2.5-flash,CQ4,2,92,95,5,5,0,0,1.0,1.0,,
llama3-8b-instruct,openai_gpt4omini,CQ5,2,95,100,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,llama-3.3-70b-versatile,CQ5,2,95,100,9,9,0,0,1.0,1.0,,
llama3-8b-instruct,llama-3.1-8b-instant,CQ5,2,95,100,7,6,0,1,0.8571,0.8571,,
llama3-8b-instruct,gemini-2.5-flash,CQ5,2,95,100,8,8,0,0,1.0,1.0,,
llama3-8b-instruct,openai_gpt4omini,CQ6,2,51,55,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,llama-3.3-70b-versatile,CQ6,2,51,55,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,llama-3.1-8b-instant,CQ6,2,51,55,1,1,0,0,1.0,1.0,,
llama3-8b-instruct,gemini-2.5-flash,CQ6,2,51,55,12,7,0,5,0.5833,0.5833,,
llama3-8b-instruct,openai_gpt4omini,CQ7,2,99,104,2,1,0,1,0.5,0.5,,
llama3-8b-instruct,llama-3.3-70b-versatile,CQ7,2,99,104,6,5,0,1,0.8333,0.8333,,
llama3-8b-instruct,llama-3.1-8b-instant,CQ7,2,99,104,4,2,1,1,0.5,0.625,,
llama3-8b-instruct,gemini-2.5-flash,CQ7,2,99,104,4,0,0,4,0.0,0.0,,
llama3-8b-instruct,openai_gpt4omini,CQ8,2,60,65,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,llama-3.3-70b-versatile,CQ8,2,60,65,6,6,0,0,1.0,1.0,,
llama3-8b-instruct,llama-3.1-8b-instant,CQ8,2,60,65,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,gemini-2.5-flash,CQ8,2,60,65,5,5,0,0,1.0,1.0,,
llama3-8b-instruct,openai_gpt4omini,CQ9,2,96,101,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,llama-3.3-70b-versatile,CQ9,2,96,101,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,llama-3.1-8b-instant,CQ9,2,96,101,5,3,1,1,0.6,0.7,,
llama3-8b-instruct,gemini-2.5-flash,CQ9,2,96,101,4,0,0,4,0.0,0.0,,
llama3-8b-instruct,openai_gpt4omini,CQ10,2,56,55,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,llama-3.3-70b-versatile,CQ10,2,56,55,1,0,0,1,0.0,0.0,,
llama3-8b-instruct,llama-3.1-8b-instant,CQ10,2,56,55,0,0,0,0,0.0,0.0,Expecting value: line 16 column 9 (char 609),
llama3-8b-instruct,gemini-2.5-flash,CQ10,2,56,55,1,0,0,1,0.0,0.0,,
